name,popularity,followers,updated_genre
Drake,98.0,61377383.0,'canadian hip hop'
Ed Sheeran,95.0,93327682.0,'pop'
Ariana Grande,93.0,76626333.0,'dance pop'
Bad Bunny,100.0,44516743.0,'latin'
The Weeknd,98.0,42275433.0,'canadian contemporary r&b'
Post Malone,91.0,36067567.0,'dfw rap'
Justin Bieber,96.0,57338230.0,'canadian pop'
Eminem,95.0,52938477.0,'detroit hip hop'
Taylor Swift,98.0,49832330.0,'pop'
J Balvin,93.0,32773399.0,'latin'
BTS,96.0,46314717.0,'k-pop'
Kanye West,95.0,16559175.0,'chicago rap'
Billie Eilish,92.0,57955095.0,'art pop'
Ozuna,91.0,31295424.0,'latin'
Khalid,89.0,14957170.0,'pop'
XXXTENTACION,91.0,34915213.0,'emo rap'
Juice WRLD,95.0,22638755.0,'chicago rap'
Coldplay,91.0,34354419.0,'permanent wave'
Rihanna,92.0,47399501.0,'barbadian pop'
Travis Scott,92.0,19948435.0,'hip hop'
Imagine Dragons,92.0,38567921.0,'modern rock'
Maroon 5,89.0,35404001.0,'pop'
Dua Lipa,93.0,32441064.0,'dance pop'
Shawn Mendes,89.0,36706520.0,'canadian pop'
Calvin Harris,86.0,22541794.0,'dance pop'
David Guetta,90.0,23906039.0,'big room'
Daddy Yankee,89.0,25965426.0,'latin'
Sam Smith,86.0,18910409.0,'dance pop'
Bruno Mars,92.0,38430735.0,'dance pop'
The Chainsmokers,85.0,18839300.0,'dance pop'
Queen,88.0,40006215.0,'classic rock'
Kendrick Lamar,91.0,19467609.0,'conscious hip hop'
Beyoncé,87.0,30505298.0,'dance pop'
Chris Brown,90.0,15498170.0,'dance pop'
Future,92.0,11203919.0,'atl hip hop'
One Direction,88.0,25036588.0,'boy band'
Sia,88.0,22486822.0,'australian dance'
Nicki Minaj,90.0,24269178.0,'dance pop'
Lady Gaga,87.0,21267218.0,'art pop'
Halsey,87.0,17168382.0,'dance pop'
Selena Gomez,86.0,33470875.0,'dance pop'
J. Cole,90.0,15992086.0,'conscious hip hop'
Anuel AA,90.0,20651144.0,'latin'
The Beatles,88.0,22088913.0,'beatlesque'
twenty one pilots,84.0,22016753.0,'modern rock'
Maluma,89.0,29917406.0,'latin'
Kygo,84.0,7921433.0,'edm'
Marshmello,86.0,33177049.0,'brostep'
Avicii,84.0,21419840.0,'dance pop'
Linkin Park,86.0,21247809.0,'alternative metal'
Lil Uzi Vert,90.0,12933792.0,'melodic rap'
Katy Perry,88.0,20758313.0,'dance pop'
Camila Cabello,84.0,25639043.0,'dance pop'
Adele,92.0,34838727.0,'british soul'
Lana Del Rey,88.0,15487248.0,'art pop'
Jason Derulo,85.0,10823486.0,'dance pop'
Farruko,90.0,12343965.0,'latin'
Demi Lovato,84.0,21736656.0,'dance pop'
Red Hot Chili Peppers,86.0,17618814.0,'alternative rock'
Nicky Jam,87.0,16383011.0,'latin'
Shakira,85.0,23206144.0,'colombian pop'
Arctic Monkeys,87.0,13873431.0,'garage rock'
Martin Garrix,81.0,15414792.0,'dance pop'
G‐Eazy,81.0,5024697.0,'indie pop rap'
Major Lazer,79.0,6266143.0,'dance pop'
Panic! at the Disco,82.0,11196852.0,'modern rock'
Miley Cyrus,86.0,17473994.0,'dance pop'
OneRepublic,86.0,13243557.0,'dance pop'
Michael Jackson,85.0,21887671.0,'pop'
Pitbull,86.0,9122859.0,'dance pop'
Ellie Goulding,81.0,10537998.0,'dance pop'
Cardi B,85.0,19326840.0,'dance pop'
Charlie Puth,85.0,15397312.0,'dance pop'
Harry Styles,87.0,19178305.0,'pop'
Sebastián Yatra,88.0,18378874.0,'colombian pop'
Wiz Khalifa,87.0,10429633.0,'dance pop'
Rauw Alejandro,94.0,9797965.0,'puerto rican pop'
Lil Wayne,90.0,11663143.0,'hip hop'
KAROL G,90.0,22381898.0,'latin'
DaBaby,89.0,9192965.0,'north carolina hip hop'
Logic,82.0,5643607.0,'conscious hip hop'
Fall Out Boy,82.0,9335112.0,'emo'
Migos,82.0,12165800.0,'atl hip hop'
Young Thug,90.0,7012456.0,'atl hip hop'
Diplo,83.0,2448514.0,'dance pop'
Tyga,85.0,6492128.0,'dance pop'
21 Savage,89.0,10851038.0,'atl hip hop'
Alan Walker,85.0,32895607.0,'electro house'
John Mayer,82.0,5431503.0,'neo mellow'
Sech,88.0,10249836.0,'latin'
Metallica,84.0,20537462.0,'hard rock'
Lil Baby,93.0,9740427.0,'atl hip hop'
Macklemore,80.0,1835980.0,'pop rap'
ZAYN,81.0,19085882.0,'dance pop'
P!nk,84.0,12719899.0,'dance pop'
DJ Snake,82.0,7697673.0,'dance pop'
Zedd,80.0,5692180.0,'complextro'
Lauv,82.0,4863326.0,'dance pop'
Mac Miller,88.0,7104991.0,'hip hop'
James Arthur,83.0,9408474.0,'pop'
Little Mix,83.0,10092701.0,'dance pop'
Pop Smoke,88.0,9378116.0,'brooklyn drill'
ACDC,84.0,22469599.0,'australian rock'
Lil Peep,87.0,8733049.0,'emo rap'
Myke Towers,90.0,8093701.0,'reggaeton'
Robin Schulz,82.0,2890006.0,'dance pop'
5 Seconds of Summer,82.0,8315064.0,'boy band'
A$AP Rocky,87.0,10727382.0,'east coast hip hop'
Kodak Black,87.0,7841296.0,'florida rap'
A Boogie Wit da Hoodie,86.0,6314899.0,'melodic rap'
Doja Cat,94.0,16141556.0,'dance pop'
Trippie Redd,88.0,7289295.0,'melodic rap'
Justin Timberlake,83.0,11751691.0,'dance pop'
NF,84.0,6723723.0,'hip hop'
Romeo Santos,84.0,14317721.0,'bachata'
Metro Boomin,83.0,2856664.0,'hip hop'
DJ Khaled,81.0,7191369.0,'dance pop'
Clean Bandit,80.0,4688942.0,'dance pop'
Zara Larsson,79.0,9783476.0,'dance pop'
Frank Ocean,87.0,9025133.0,'alternative r&b'
Green Day,83.0,13077281.0,'permanent wave'
Bob Marley & The Wailers,81.0,10369942.0,'reggae'
Bebe Rexha,82.0,7089859.0,'dance pop'
Enrique Iglesias,80.0,10617959.0,'dance pop'
Tiësto,87.0,6222544.0,'big room'
Lewis Capaldi,82.0,9278737.0,'pop'
Pink Floyd,82.0,16481858.0,'album rock'
blackbear,85.0,4595054.0,'electropop'
Gunna,92.0,4025944.0,'atl hip hop'
Luis Fonsi,80.0,10085605.0,'latin'
Black Eyed Peas,83.0,6469777.0,'dance pop'
Flo Rida,82.0,8436431.0,'dance pop'
Ty Dolla $ign,35.0,437.0,
The Rolling Stones,81.0,11428332.0,'british invasion'
Nirvana,84.0,14693723.0,'alternative rock'
Elton John,88.0,8837538.0,'glam rock'
Michael Bublé,79.0,5054594.0,'adult standards'
JAY‐Z,87.0,7059668.0,'east coast hip hop'
YoungBoy Never Broke Again,88.0,8345407.0,'baton rouge rap'
Lil Nas X,90.0,9691192.0,'lgbtq+ hip hop'
Jonas Blue,79.0,3486375.0,'dance pop'
BLACKPINK,84.0,28521061.0,'k-pop'
"Tyler, the Creator",89.0,8091224.0,'hip hop'
Russ,81.0,4282364.0,'hawaiian hip hop'
Guns N’ Roses,82.0,23648789.0,'glam metal'
Fleetwood Mac,83.0,7917837.0,'album rock'
Bastille,80.0,4968972.0,'metropopolis'
Britney Spears,84.0,10511123.0,'dance pop'
Machine Gun Kelly,86.0,4384103.0,'ohio hip hop'
Childish Gambino,81.0,8922872.0,'atl hip hop'
Big Sean,84.0,9340718.0,'detroit hip hop'
SZA,88.0,7284303.0,'pop'
Alessia Cara,80.0,9999665.0,'canadian contemporary r&b'
Anitta,83.0,11210635.0,'funk carioca'
Reik,83.0,6918260.0,'latin'
Olivia Rodrigo,90.0,14317065.0,'pop'
Skrillex,81.0,7976707.0,'brostep'
Lorde,81.0,9085687.0,'art pop'
Usher,83.0,9483786.0,'atl hip hop'
$uicideboy$,87.0,4239048.0,'dark trap'
David Bowie,81.0,7848548.0,'art rock'
Kid Cudi,86.0,5592126.0,'hip hop'
50 Cent,86.0,8547221.0,'east coast hip hop'
Gorillaz,82.0,8321133.0,'alternative hip hop'
Hozier,82.0,5062936.0,'irish singer-songwriter'
French Montana,80.0,4359902.0,'gangster rap'
Camilo,85.0,14167171.0,'colombian pop'
Becky G,85.0,11028287.0,'dance pop'
Tory Lanez,83.0,4247998.0,'canadian hip hop'
The Killers,80.0,6405002.0,'alternative rock'
Banda Sinaloense MS de Sergio Lizárraga,84.0,14113748.0,'banda'
Foo Fighters,80.0,9581620.0,'alternative metal'
blink‐182,80.0,6878548.0,'pop punk'
Mariah Carey,80.0,7521874.0,'dance pop'
Meek Mill,81.0,5904234.0,'hip hop'
Daft Punk,83.0,8679114.0,'electro'
U2,81.0,9459901.0,'irish rock'
John Legend,82.0,6111865.0,'neo soul'
Rae Sremmurd,78.0,6770657.0,'hip hop'
Meghan Trainor,80.0,11224780.0,'dance pop'
Led Zeppelin,80.0,11874003.0,'album rock'
6ix9ine,76.0,6670706.0,'emo rap'
Rita Ora,79.0,7267409.0,'dance pop'
Gucci Mane,82.0,4204078.0,'atl hip hop'
Mumford & Sons,76.0,6241405.0,'modern folk rock'
The 1975,78.0,5413108.0,'modern alternative rock'
Luke Combs,82.0,6245187.0,'contemporary country'
Marília Mendonça,89.0,23160843.0,'arrocha'
Ava Max,86.0,4926345.0,'dance pop'
Jack Johnson,78.0,3324061.0,'neo mellow'
Manuel Turizo,83.0,9084334.0,'colombian pop'
Roddy Ricch,85.0,7605732.0,'melodic rap'
System of a Down,81.0,7977837.0,'alternative metal'
Radiohead,81.0,6833410.0,'alternative rock'
Swae Lee,82.0,1419099.0,'melodic rap'
Hailee Steinfeld,76.0,7498904.0,'dance pop'
Muse,79.0,6888410.0,'modern rock'
Bazzi,0.0,1252.0,
The Notorious B.I.G.,82.0,7329280.0,'east coast hip hop'
The Neighbourhood,89.0,8252581.0,'modern alternative rock'
Elvis Presley,80.0,6351332.0,'adult standards'
Snoop Dogg,88.0,7892518.0,'g funk'
Jess Glynne,77.0,2694404.0,'australian pop'
Felix Jaehn,77.0,1175234.0,'dance pop'
Frank Sinatra,79.0,5412740.0,'adult standards'
Polo G,90.0,6852275.0,'chicago rap'
Joji,84.0,5490514.0,'alternative r&b'
Julia Michaels,80.0,4295036.0,'alt z'
Paramore,81.0,6731874.0,'candy pop'
Cheat Codes,78.0,2019776.0,'dance pop'
Fifth Harmony,74.0,13981649.0,'dance pop'
Disclosure,77.0,2000141.0,'edm'
Troye Sivan,81.0,6479685.0,'australian pop'
Oasis,79.0,7101327.0,'beatlesque'
Slipknot,80.0,8110410.0,'alternative metal'
Florida Georgia Line,80.0,4672419.0,'contemporary country'
Christina Aguilera,82.0,6761289.0,'dance pop'
Jhay Cortez,88.0,3594036.0,'latin'
Chance the Rapper,80.0,5568398.0,'chicago rap'
Jorge & Mateus,83.0,16219038.0,'arrocha'
Bon Jovi,81.0,10472489.0,'glam metal'
Don Omar,84.0,6719372.0,'latin'
The Lumineers,81.0,4630429.0,'folk-pop'
Kings of Leon,77.0,4942518.0,'modern rock'
Tame Impala,83.0,5473452.0,'australian psych'
Dalex,83.0,4004355.0,'latin'
Luke Bryan,79.0,7116544.0,'contemporary country'
Tove Lo,79.0,2964759.0,'art pop'
Alicia Keys,83.0,9518107.0,'hip pop'
Jason Mraz,77.0,6554544.0,'acoustic pop'
The Script,78.0,7141162.0,'celtic rock'
6LACK,81.0,3382161.0,'alternative r&b'
The Kid LAROI,89.0,3397874.0,'australian hip hop'
Glee Cast,76.0,1448334.0,'glee club'
Melanie Martinez,83.0,12938333.0,'alt z'
Florence + the Machine,78.0,5797914.0,'baroque pop'
Paulo Londra,80.0,14952043.0,'argentine hip hop'
Natti Natasha,80.0,7411370.0,'latin'
Lil Pump,72.0,7897374.0,'emo rap'
Justin Quiles,88.0,3305632.0,'latin'
Galantis,79.0,3194860.0,'dance pop'
Megan thee Stallion,86.0,6077098.0,'dance pop'
Five Finger Death Punch,77.0,5332773.0,'alternative metal'
Bruce Springsteen,78.0,4663545.0,'classic rock'
Nickelback,79.0,5591742.0,'alternative metal'
Kehlani,81.0,5564020.0,'dance pop'
Creedence Clearwater Revival,80.0,4896491.0,'album rock'
Alesso,80.0,3772700.0,'dance pop'
Ne‐Yo,82.0,6900963.0,'dance pop'
Madonna,81.0,5878067.0,'dance pop'
Christian Nodal,86.0,10168555.0,'mariachi'
2Pac,84.0,12266513.0,'g funk'
Piso 21,78.0,7880426.0,'colombian pop'
Niall Horan,81.0,8254943.0,'dance pop'
Bryson Tiller,82.0,5503932.0,'kentucky hip hop'
Whitney Houston,80.0,7691758.0,'dance pop'
Capital Bra,76.0,4221382.0,'german hip hop'
Kane Brown,78.0,3926817.0,'black americana'
Playboi Carti,88.0,6131507.0,'atl hip hop'
Rammstein,79.0,6882514.0,'alternative metal'
Zé Neto & Cristiano,81.0,15851933.0,'arrocha'
ABBA,82.0,7546358.0,'europop'
Gusttavo Lima,84.0,15042658.0,'arrocha'
NAV,80.0,2876039.0,'canadian hip hop'
Labrinth,89.0,2095341.0,'indie poptimism'
My Chemical Romance,80.0,6647874.0,'emo'
YG,80.0,2785664.0,'cali rap'
Thomas Rhett,77.0,4042816.0,'contemporary country'
Henrique Albino,85.0,14522019.0,'arrocha'
Arcangelo,27.0,338.0,
Alok,83.0,11146589.0,'electro house'
Zion I,82.0,6113909.0,'latin'
Jonas Brothers,80.0,6028054.0,'boy band'
James Bay,76.0,3581460.0,'modern rock'
Morat,83.0,5259858.0,'colombian pop'
Disturbed,77.0,5319536.0,'alternative metal'
Lenny Tavárez,88.0,1674531.0,'latin'
Vance Joy,79.0,2556454.0,'folk-pop'
Kevin Gates,79.0,4840339.0,'baton rouge rap'
Ryan Lewis,76.0,12619.0,
Flume,76.0,2242146.0,'australian dance'
Kelly Clarkson,78.0,8513513.0,'dance pop'
Wisin,83.0,7558829.0,'latin'
Jennifer Lopez,81.0,11451712.0,'dance pop'
Avril Lavigne,82.0,8454794.0,'canadian pop'
Lil Skies,76.0,4783512.0,'melodic rap'
Aerosmith,79.0,11721656.0,'album rock'
Bring Me the Horizon,81.0,4290768.0,'melodic metalcore'
Stevie Wonder,79.0,5510275.0,'adult standards'
Amy Winehouse,78.0,7733306.0,'british soul'
Miguel,81.0,3884230.0,'dance pop'
Hans Zimmer,80.0,2886002.0,'german soundtrack'
YNW Melly,80.0,7245583.0,'melodic rap'
Alejandro Fernández,80.0,5197702.0,'latin'
Tones and I,77.0,2937762.0,'australian pop'
Fetty Wap,75.0,4254014.0,'new jersey rap'
Sean Paul,84.0,3779499.0,'dance pop'
Backstreet Boys,78.0,4358792.0,'boy band'
TWICE,86.0,12612229.0,'k-pop'
Kesha,82.0,7030298.0,'dance pop'
Maná,80.0,7486783.0,'latin'
Morgan Wallen,86.0,2970393.0,'contemporary country'
Jeremih,80.0,5573086.0,'chicago rap'
Yandel,80.0,5675466.0,'latin'
Dr. Dre,87.0,6822397.0,'g funk'
Wisin & Yandel,82.0,5086006.0,'electro latino'
Three Days Grace,78.0,5055280.0,'alternative metal'
Steve Aoki,78.0,3633589.0,'dance pop'
Jason Aldean,78.0,5088095.0,'contemporary country'
Seeb,72.0,268047.0,'dance pop'
George Ezra,76.0,3589422.0,'folk-pop'
Dan + Shay,78.0,2553535.0,'contemporary country'
Billy Joel,79.0,4122048.0,'classic rock'
Prince Royce,79.0,6776252.0,'bachata'
Phil Collins,79.0,4335156.0,'mellow gold'
Pearl Jam,78.0,7347953.0,'grunge'
Akon,84.0,3068219.0,'dance pop'
Trey Songz,76.0,6426241.0,'dance pop'
Eagles,78.0,7789726.0,'album rock'
Johnny Cash,78.0,5187281.0,'arkansas country'
Jessie J,76.0,9647363.0,'dance pop'
Lil Tecca,83.0,4868008.0,'melodic rap'
Lil Mosey,77.0,4386800.0,'melodic rap'
benny blanco,77.0,877225.0,'electropop'
Passenger,75.0,2930476.0,'folk-pop'
Lin‐Manuel Miranda,78.0,506737.0,'hollywood'
Lukas Graham,76.0,1918520.0,'danish pop'
CNCO,74.0,8596948.0,'boy band'
Avenged Sevenfold,77.0,5221927.0,'alternative metal'
The Offspring,78.0,4564596.0,'alternative metal'
Nio García,82.0,2855392.0,'latin'
Matheus Mota,79.0,9610913.0,'arrocha'
Mark Ronson,79.0,951565.0,'dance pop'
The Strokes,79.0,4204592.0,'alternative rock'
Lizzo,76.0,4385410.0,'dance pop'
2 Chainz,83.0,6965380.0,'atl hip hop'
Céline Dion,79.0,5807214.0,'canadian pop'
Lil Tjay,85.0,4663343.0,'brooklyn drill'
Ricky Martin,78.0,6450520.0,'dance pop'
Foster the People,76.0,3382678.0,'indietronica'
Ricardo Arjona,79.0,8293424.0,'cantautor'
Train,77.0,3955400.0,'dance pop'
Bob Dylan,76.0,5558262.0,'classic rock'
ScHoolboy Q,78.0,4061379.0,'gangster rap'
Pablo Alborán,78.0,4214458.0,'latin'
Rudimental,73.0,1316352.0,'dance pop'
Jul,84.0,5016621.0,'francoton'
H.E.R.,81.0,4871893.0,'alternative r&b'
24kGoldn,81.0,1573402.0,'cali rap'
Pentatonix,72.0,3242217.0,'a cappella'
Marc Anthony,80.0,6819039.0,'latin'
James Blunt,75.0,2578167.0,'neo mellow'
Macklemore & Ryan Lewis,76.0,2567903.0,'dance pop'
Armin van Buuren,77.0,4064792.0,'dutch trance'
Aventura,82.0,5541234.0,'bachata'
Daniel Caesar,82.0,3128218.0,'canadian contemporary r&b'
Lil Yachty,82.0,7863303.0,'atl hip hop'
Alejandro Sanz,79.0,5932361.0,'cantautor'
Bon Iver,79.0,3164304.0,'eau claire indie'
Sam Hunt,75.0,2188663.0,'contemporary country'
Liam Payne,71.0,9163499.0,'dance pop'
Dire Straits,78.0,5520998.0,'album rock'
Offset,82.0,2244975.0,'atl hip hop'
Duki,87.0,5452449.0,'argentine hip hop'
Nelly,79.0,2044201.0,'dance pop'
Jhené Aiko,82.0,5271659.0,'alternative r&b'
Quavo,82.0,5541957.0,'atl hip hop'
Zac Brown Band,75.0,3011287.0,'contemporary country'
BROCKHAMPTON,75.0,1941317.0,'boy band'
Bryan Adams,78.0,2499461.0,'canadian pop'
Ski Mask the Slump God,81.0,4814611.0,'miami hip hop'
Blake Shelton,75.0,6302358.0,'contemporary country'
PARTYNEXTDOOR,80.0,3637841.0,'pop'
The Black Keys,73.0,3628118.0,'alternative rock'
Carlos Vives,80.0,4989015.0,'champeta'
Mike Posner,74.0,1232330.0,'dance pop'
The Vamps,75.0,5023099.0,'boy band'
R3HAB,80.0,2314666.0,'dance pop'
Don Toliver,84.0,2026561.0,'pop'
Charli XCX,81.0,2559092.0,'art pop'
Bee Gees,80.0,5421478.0,'disco'
Ninho,85.0,5689857.0,'french hip hop'
Dean Lewis,77.0,1931524.0,'australian pop'
The Police,77.0,4760133.0,'album rock'
Marvin Gaye,76.0,4474054.0,'classic soul'
Birdy,74.0,3434001.0,'pop'
ILLENIUM,78.0,1223567.0,'edm'
Boyce Avenue,76.0,2922880.0,'acoustic cover'
Lost Frequencies,82.0,2353252.0,'belgian edm'
Skillet,77.0,4213142.0,'alternative metal'
Danny Ocean,80.0,3701577.0,'latin'
Iron Maiden,76.0,7154398.0,'hard rock'
Lil Durk,88.0,3683750.0,'chicago drill'
Jack Harlow,88.0,1561336.0,'deep underground hip hop'
Tim McGraw,75.0,3896386.0,'contemporary country'
Rise Against,74.0,2474022.0,'chicago hardcore'
Maren Morris,78.0,632387.0,'contemporary country'
John Williams,76.0,1093850.0,'orchestral soundtrack'
A$AP Ferg,77.0,3257090.0,'hip hop'
T.I.,79.0,4091299.0,'atl hip hop'
Carly Rae Jepsen,75.0,4921645.0,'canadian pop'
Bradley Cooper,74.0,197214.0,'hollywood'
Juanes,78.0,3662729.0,'colombian pop'
The Doors,76.0,6497461.0,'acid rock'
Iggy Azalea,75.0,5897478.0,'australian hip hop'
Glass Animals,87.0,2511850.0,'gauze pop'
alt‐J,77.0,2989735.0,'indie rock'
Cage the Elephant,78.0,2809245.0,'modern rock'
Anderson .Paak,85.0,2119597.0,'escape room'
Weezer,76.0,2593409.0,'alternative rock'
Soda Stereo,77.0,6387271.0,'argentine rock'
Alec Benjamin,80.0,3323896.0,'alt z'
LANY,79.0,4441574.0,'la pop'
Mabel,76.0,1539450.0,'dance pop'
Sigala,77.0,1385482.0,'dance pop'
Hillsong Worship,76.0,3711802.0,'ccm'
Journey,76.0,4135980.0,'album rock'
Kenny Chesney,74.0,3797975.0,'contemporary country'
Eric Church,75.0,3307137.0,'contemporary country'
Nick Jonas,70.0,7944581.0,'dance pop'
Jeremy Zucker,79.0,1920098.0,'electropop'
